LYLTY_CARD_NBR,PREMIUM_CUSTOMER,AGE,SITUATION
1000,Premium,YOUNG,SINGLES/COUPLES
1002,Mainstream,YOUNG,SINGLES/COUPLES
1003,Budget,YOUNG,FAMILIES
1004,Mainstream,OLDER,SINGLES/COUPLES
1005,Mainstream,MIDAGE,SINGLES/COUPLES
1007,Budget,YOUNG,SINGLES/COUPLES
1009,Premium,NEW,FAMILIES
1010,Mainstream,YOUNG,SINGLES/COUPLES
1011,Mainstream,OLDER,SINGLES/COUPLES
1012,Mainstream,OLDER,FAMILIES
1013,Budget,RETIREES,
1016,Mainstream,OLDER,FAMILIES
1018,Mainstream,YOUNG,SINGLES/COUPLES
1019,Premium,OLDER,SINGLES/COUPLES
1020,Mainstream,YOUNG,SINGLES/COUPLES
1022,Budget,OLDER,FAMILIES
1023,Premium,MIDAGE,SINGLES/COUPLES
1024,Premium,YOUNG,SINGLES/COUPLES
1025,Budget,YOUNG,FAMILIES
1026,Premium,MIDAGE,SINGLES/COUPLES
1027,Premium,OLDER,FAMILIES
1028,Budget,YOUNG,SINGLES/COUPLES
1030,Mainstream,RETIREES,
1034,Premium,RETIREES,
1038,Mainstream,OLDER,FAMILIES
1039,Mainstream,YOUNG,FAMILIES
1042,Premium,YOUNG,SINGLES/COUPLES
1043,Budget,YOUNG,FAMILIES
1044,Mainstream,YOUNG,FAMILIES
1046,Budget,YOUNG,SINGLES/COUPLES
1048,Mainstream,OLDER,FAMILIES
1050,Budget,YOUNG,FAMILIES
1051,Budget,YOUNG,SINGLES/COUPLES
1052,Budget,MIDAGE,SINGLES/COUPLES
1053,Mainstream,MIDAGE,SINGLES/COUPLES
1054,Mainstream,NEW,FAMILIES
1055,Mainstream,RETIREES,
1056,Mainstream,MIDAGE,SINGLES/COUPLES
1057,Mainstream,MIDAGE,SINGLES/COUPLES
1060,Mainstream,YOUNG,SINGLES/COUPLES
1061,Budget,OLDER,SINGLES/COUPLES
1062,Premium,YOUNG,FAMILIES
1064,Budget,YOUNG,FAMILIES
1065,Premium,MIDAGE,SINGLES/COUPLES
1067,Mainstream,OLDER,SINGLES/COUPLES
1068,Premium,YOUNG,SINGLES/COUPLES
1071,Mainstream,YOUNG,FAMILIES
1072,Premium,NEW,FAMILIES
1074,Budget,RETIREES,
1076,Budget,YOUNG,SINGLES/COUPLES
1077,Premium,OLDER,SINGLES/COUPLES
1080,Budget,RETIREES,
1081,Budget,MIDAGE,SINGLES/COUPLES
1086,Budget,YOUNG,SINGLES/COUPLES
1087,Premium,RETIREES,
1088,Budget,YOUNG,SINGLES/COUPLES
1089,Mainstream,RETIREES,
1090,Budget,OLDER,FAMILIES
1091,Budget,NEW,FAMILIES
1093,Premium,RETIREES,
1094,Budget,NEW,FAMILIES
1095,Mainstream,RETIREES,
1096,Premium,OLDER,SINGLES/COUPLES
1097,Budget,RETIREES,
1099,Premium,OLDER,SINGLES/COUPLES
1101,Mainstream,RETIREES,
1102,Budget,OLDER,FAMILIES
1103,Budget,OLDER,FAMILIES
1104,Mainstream,RETIREES,
1105,Premium,RETIREES,
1107,Mainstream,OLDER,SINGLES/COUPLES
1108,Mainstream,RETIREES,
1109,Mainstream,OLDER,SINGLES/COUPLES
1111,Premium,RETIREES,
1113,Mainstream,YOUNG,SINGLES/COUPLES
1114,Premium,OLDER,FAMILIES
1115,Premium,RETIREES,
1116,Premium,OLDER,SINGLES/COUPLES
1117,Mainstream,OLDER,SINGLES/COUPLES
1118,Mainstream,RETIREES,
1120,Mainstream,YOUNG,SINGLES/COUPLES
1121,Premium,OLDER,SINGLES/COUPLES
1122,Budget,OLDER,SINGLES/COUPLES
1123,Mainstream,MIDAGE,SINGLES/COUPLES
1124,Mainstream,RETIREES,
1125,Premium,OLDER,SINGLES/COUPLES
1127,Mainstream,RETIREES,
1133,Budget,YOUNG,FAMILIES
1134,Mainstream,RETIREES,
1136,Budget,OLDER,FAMILIES
1137,Premium,MIDAGE,SINGLES/COUPLES
1139,Premium,OLDER,SINGLES/COUPLES
1140,Mainstream,RETIREES,
1141,Mainstream,YOUNG,SINGLES/COUPLES
1142,Premium,OLDER,FAMILIES
1143,Budget,OLDER,FAMILIES
1146,Premium,YOUNG,SINGLES/COUPLES
1147,Premium,NEW,FAMILIES
1149,Mainstream,YOUNG,FAMILIES
1150,Budget,YOUNG,SINGLES/COUPLES
1152,Budget,RETIREES,
1155,Budget,OLDER,SINGLES/COUPLES
1156,Premium,RETIREES,
1158,Mainstream,OLDER,SINGLES/COUPLES
1159,Mainstream,YOUNG,SINGLES/COUPLES
1161,Mainstream,YOUNG,SINGLES/COUPLES
1163,Mainstream,YOUNG,SINGLES/COUPLES
1164,Mainstream,YOUNG,SINGLES/COUPLES
1165,Budget,YOUNG,SINGLES/COUPLES
1168,Premium,YOUNG,SINGLES/COUPLES
1169,Budget,NEW,FAMILIES
1170,Mainstream,OLDER,FAMILIES
1171,Mainstream,RETIREES,
1172,Mainstream,OLDER,FAMILIES
1173,Mainstream,RETIREES,
1174,Budget,OLDER,SINGLES/COUPLES
1177,Mainstream,YOUNG,SINGLES/COUPLES
1178,Mainstream,RETIREES,
1179,Mainstream,YOUNG,SINGLES/COUPLES
1181,Premium,YOUNG,SINGLES/COUPLES
1182,Budget,YOUNG,SINGLES/COUPLES
1183,Budget,YOUNG,SINGLES/COUPLES
1184,Budget,MIDAGE,SINGLES/COUPLES
1186,Budget,NEW,FAMILIES
1187,Budget,YOUNG,FAMILIES
1188,Mainstream,RETIREES,
1189,Budget,RETIREES,
1190,Budget,OLDER,FAMILIES
1191,Mainstream,YOUNG,SINGLES/COUPLES
1192,Budget,YOUNG,SINGLES/COUPLES
1193,Mainstream,YOUNG,SINGLES/COUPLES
1196,Premium,YOUNG,FAMILIES
1197,Premium,RETIREES,
1199,Mainstream,RETIREES,
1201,Mainstream,OLDER,SINGLES/COUPLES
1202,Premium,YOUNG,FAMILIES
1203,Mainstream,OLDER,FAMILIES
1205,Premium,RETIREES,
1206,Mainstream,NEW,FAMILIES
1209,Premium,MIDAGE,SINGLES/COUPLES
1210,Mainstream,YOUNG,SINGLES/COUPLES
1211,Premium,OLDER,SINGLES/COUPLES
1212,Mainstream,NEW,FAMILIES
1216,Mainstream,OLDER,FAMILIES
1218,Budget,OLDER,SINGLES/COUPLES
1219,Premium,OLDER,SINGLES/COUPLES
1223,Mainstream,OLDER,SINGLES/COUPLES
1224,Mainstream,MIDAGE,SINGLES/COUPLES
1225,Budget,YOUNG,SINGLES/COUPLES
1226,Budget,OLDER,FAMILIES
1228,Mainstream,MIDAGE,SINGLES/COUPLES
1229,Premium,YOUNG,SINGLES/COUPLES
1232,Mainstream,RETIREES,
1233,Mainstream,YOUNG,FAMILIES
1235,Budget,OLDER,FAMILIES
1236,Mainstream,MIDAGE,SINGLES/COUPLES
1238,Premium,OLDER,SINGLES/COUPLES
1239,Mainstream,OLDER,FAMILIES
1240,Premium,OLDER,SINGLES/COUPLES
1241,Mainstream,RETIREES,
1242,Budget,OLDER,SINGLES/COUPLES
1243,Budget,YOUNG,FAMILIES
1244,Budget,RETIREES,
1246,Mainstream,YOUNG,SINGLES/COUPLES
1247,Premium,RETIREES,
1248,Budget,RETIREES,
1250,Budget,OLDER,FAMILIES
1254,Budget,RETIREES,
1256,Mainstream,YOUNG,FAMILIES
1257,Mainstream,MIDAGE,SINGLES/COUPLES
1259,Premium,YOUNG,FAMILIES
1262,Premium,RETIREES,
1263,Budget,YOUNG,SINGLES/COUPLES
1266,Mainstream,OLDER,SINGLES/COUPLES
1267,Mainstream,YOUNG,SINGLES/COUPLES
1270,Budget,RETIREES,
1272,Premium,OLDER,SINGLES/COUPLES
1273,Mainstream,YOUNG,SINGLES/COUPLES
1274,Mainstream,RETIREES,
1275,Mainstream,RETIREES,
1276,Mainstream,MIDAGE,SINGLES/COUPLES
1277,Premium,OLDER,SINGLES/COUPLES
1278,Mainstream,NEW,FAMILIES
1280,Budget,OLDER,SINGLES/COUPLES
1281,Budget,OLDER,FAMILIES
1282,Budget,YOUNG,SINGLES/COUPLES
1283,Budget,OLDER,FAMILIES
1284,Mainstream,YOUNG,FAMILIES
1285,Mainstream,YOUNG,SINGLES/COUPLES
1286,Mainstream,YOUNG,SINGLES/COUPLES
1287,Mainstream,RETIREES,
1288,Budget,OLDER,FAMILIES
1289,Premium,YOUNG,SINGLES/COUPLES
1290,Budget,RETIREES,
1291,Mainstream,YOUNG,SINGLES/COUPLES
1292,Premium,RETIREES,
1293,Budget,OLDER,SINGLES/COUPLES
1294,Budget,RETIREES,
1297,Mainstream,YOUNG,SINGLES/COUPLES
1298,Mainstream,YOUNG,FAMILIES
1303,Mainstream,YOUNG,SINGLES/COUPLES
1305,Budget,YOUNG,SINGLES/COUPLES
1306,Budget,RETIREES,
1307,Budget,MIDAGE,SINGLES/COUPLES
1308,Mainstream,YOUNG,SINGLES/COUPLES
1310,Budget,OLDER,SINGLES/COUPLES
1312,Mainstream,OLDER,SINGLES/COUPLES
1313,Budget,YOUNG,SINGLES/COUPLES
1314,Budget,YOUNG,SINGLES/COUPLES
1317,Premium,OLDER,FAMILIES
1318,Mainstream,NEW,FAMILIES
1320,Premium,YOUNG,SINGLES/COUPLES
1324,Budget,YOUNG,SINGLES/COUPLES
1326,Mainstream,RETIREES,
1327,Mainstream,RETIREES,
1330,Premium,RETIREES,
1333,Budget,NEW,FAMILIES
1335,Budget,YOUNG,SINGLES/COUPLES
1336,Budget,RETIREES,
1337,Mainstream,RETIREES,
1338,Mainstream,YOUNG,SINGLES/COUPLES
1339,Premium,OLDER,FAMILIES
